type,note(s),duration_type,duration_quarterLength,offset
rest,,eighth,0.5,0.0
note,G4,eighth,0.5,0.5
note,G4,eighth,0.5,1.0
note,G4,eighth,0.5,1.5
note,E4,half,2.0,2.0
note,F4,eighth,0.5,4.5
note,F4,eighth,0.5,5.0
note,F4,eighth,0.5,5.5
note,D4,whole,4.0,6.0
note,G4,eighth,0.5,10.5
note,G4,eighth,0.5,11.0
note,G4,eighth,0.5,11.5
note,G#4,eighth,0.5,12.5
note,G#4,eighth,0.5,13.0
note,G#4,eighth,0.5,13.5
note,G4,complex,4.5,14.0
note,G4,eighth,0.5,18.5
note,G4,eighth,0.5,19.0
note,G4,eighth,0.5,19.5
note,G#4,eighth,0.5,20.5
note,G#4,eighth,0.5,21.0
note,G#4,eighth,0.5,21.5
note,G4,whole,6.0,22.0
note,E5,half,2.0,28.0
note,D5,eighth,0.5,30.0
note,G5,eighth,0.5,30.5
note,G5,eighth,0.5,31.0
note,F5,eighth,0.5,31.5
note,E5,half,2.0,32.0
note,D5,eighth,0.5,34.0
chord,"G4,D5,G5",eighth,0.5,34.5
chord,"G4,D5,G5",eighth,0.5,35.0
chord,"G4,D5,F5",eighth,0.5,35.5
chord,"G4,C5,E5",quarter,1.0,36.0
chord,"C4,F#4,C5",quarter,1.0,38.0
note,G5,half,2.0,40.0
chord,"G#4,G#5",eighth,0.5,42.5
chord,"G#4,G#5",eighth,0.5,43.0
chord,"G#4,G#5",eighth,0.5,43.5
chord,"F4,F5",whole,4.0,44.0
note,G#4,eighth,0.5,48.5
note,G#4,eighth,0.5,49.0
note,G#4,eighth,0.5,49.5
note,F4,whole,6.0,50.0
note,E4,eighth,0.5,56.0
note,G#4,eighth,0.5,56.5
note,G#4,eighth,0.5,57.0
note,G#4,eighth,0.5,57.5
note,F4,complex,4.5,58.0
chord,"G4,D5,F5",eighth,0.5,62.5
chord,"G4,D5,F5",eighth,0.5,63.0
chord,"G4,D5,F5",eighth,0.5,63.5
chord,"G4,C5,E5",eighth,0.5,64.0
note,G4,eighth,0.5,64.5
chord,"E4,C5",eighth,0.5,65.0
chord,"E4,C5",eighth,0.5,65.5
chord,"G#4,D4,F4",complex,2.5,66.0
chord,"F4,G#4,B4",eighth,0.5,68.5
chord,"F4,G#4,B4",eighth,0.5,69.0
note,D5,eighth,0.5,69.5
chord,"E4,G4",complex,2.5,70.0
chord,"E4,G4,C5",eighth,0.5,72.5
chord,"E4,G4,C5",eighth,0.5,73.0
note,E5,eighth,0.5,73.5
chord,"F4,G#4,E5",eighth,0.5,74.0
note,D5,eighth,0.5,74.5
note,D5,eighth,0.5,75.0
note,F5,eighth,0.5,75.5
chord,"G4,C5,F5",eighth,0.5,76.0
note,E5,eighth,0.5,76.5
note,E5,eighth,0.5,77.0
note,G5,eighth,0.5,77.5
chord,"G#4,C5,G5",eighth,0.5,78.0
note,F5,eighth,0.5,78.5
note,F5,eighth,0.5,79.0
note,G#5,eighth,0.5,79.5
chord,"B4,E5,G#5",eighth,0.5,80.0
note,G5,eighth,0.5,80.5
note,G5,eighth,0.5,81.0
note,B5,eighth,0.5,81.5
chord,"C5,F5,B5",eighth,0.5,82.0
note,G#5,eighth,0.5,82.5
note,G#5,eighth,0.5,83.0
note,C6,eighth,0.5,83.5
chord,"D5,G#5,C6",eighth,0.5,84.0
note,B5,eighth,0.5,84.5
note,B5,eighth,0.5,85.0
note,D6,eighth,0.5,85.5
chord,"E5,G5,C6",eighth,0.5,86.0
chord,"E5,E6",eighth,0.5,86.5
chord,"E5,E6",eighth,0.5,87.0
chord,"E5,E6",eighth,0.5,87.5
