type,note(s),duration_type,duration_quarterLength,tie,quarterLength
rest,,quarter,1.0,,1.0
chord,"F5,G#5",half,2.0,,2.0
chord,"C#5,F5",half,2.0,,2.0
rest,,whole,8/3,,8/3
chord,"C5,E5",eighth,0.5,,0.5
chord,"C#5,F5",eighth,0.5,,0.5
chord,"C5,E5",whole,10/3,,10/3
rest,,inexpressible,313.25,,313.25
chord,"B4,C#5",eighth,0.5,,0.5
chord,"C5,E5",eighth,0.5,,0.5
note,C#5,eighth,0.75,,0.75
note,F5,quarter,1.5,,1.5
note,C#5,complex,1.25,,1.25
chord,"G#4,C5",eighth,0.5,,0.5
chord,"B4,C#5",eighth,0.5,,0.5
note,G#4,complex,2.75,,2.75
note,F#4,half,3.0,,3.0
note,G#4,eighth,0.5,,0.5
note,B4,eighth,0.5,,0.5
note,G#4,quarter,1.0,,1.0
note,F#4,eighth,0.5,,0.5
note,G#4,eighth,0.5,,0.5
note,F#4,quarter,1.5,,1.5
note,F4,half,2.0,,2.0
note,F4,eighth,0.5,,0.5
note,F#4,eighth,0.5,,0.5
note,F4,eighth,0.5,,0.5
note,B4,eighth,0.5,,0.5
note,F4,eighth,0.5,,0.5
note,E4,eighth,0.5,,0.5
note,F4,eighth,0.5,,0.5
note,E4,quarter,1.0,,1.0
note,C#4,eighth,0.5,,0.5
note,E4,eighth,0.5,,0.5
note,C#4,quarter,1.5,,1.5
chord,"C4,G#3",quarter,1.5,,1.5
chord,"F5,G#5",quarter,1.5,,1.5
chord,"C#5,F5",half,2.0,,2.0
note,E5,eighth,0.5,,0.5
note,F5,eighth,0.5,,0.5
note,E5,whole,10/3,,10/3
chord,"C#4,C#5",eighth,0.5,,0.5
chord,"E4,E5",eighth,0.5,,0.5
chord,"G#4,C#5,G#5",quarter,1.5,,1.5
chord,"F4,C#5",quarter,1.5,,1.5
note,E5,eighth,0.5,,0.5
note,F5,eighth,0.5,,0.5
note,E5,quarter,1.5,,1.5
note,C#5,half,2.0,,2.0
chord,"C#4,C#5",eighth,0.5,,0.5
chord,"E4,E5",eighth,0.5,,0.5
chord,"B4,B5",eighth,0.75,,0.75
chord,"G#4,G#5",quarter,1.5,,1.5
note,F4,eighth,0.75,,0.75
note,E5,eighth,0.5,,0.5
note,F5,eighth,0.5,,0.5
note,E5,eighth,0.75,,0.75
note,C#5,quarter,1.5,,1.5
