type,note(s),duration_type,duration_quarterLength,offset
rest,,half,3.0,0.0
note,F5,quarter,1.5,3.0
note,E5,eighth,0.5,4.5
note,C#5,eighth,0.75,5.0
note,F4,16th,0.25,5.75
note,G#4,half,2.0,6.0
note,C#5,eighth,0.5,8.0
note,F5,eighth,0.5,8.5
note,B5,half,5/3,9.0
note,G#5,16th,0.25,10.75
note,E5,16th,0.25,11.0
note,F5,16th,0.25,11.25
note,C5,16th,0.25,11.5
note,C#5,16th,0.25,11.75
note,A4,complex,2.75,12.0
note,B4,quarter,1.5,15.0
note,C6,16th,0.25,16.75
note,B5,16th,0.25,17.0
note,F5,16th,0.25,17.25
note,G#5,16th,0.25,17.5
note,F#5,16th,0.25,17.75
note,F5,quarter,1.0,18.0
note,E5,quarter,1.0,19.0
note,F5,16th,0.25,20.0
note,C#5,16th,0.25,20.25
note,F#5,eighth,0.5,20.5
note,F#5,16th,0.25,21.0
note,E6,16th,0.25,22.0
note,A5,16th,0.25,22.25
note,C5,16th,0.25,22.5
note,C#5,16th,0.25,22.75
note,D5,16th,0.25,23.0
note,E5,16th,0.25,23.25
note,F5,16th,0.25,23.5
note,F#5,16th,0.25,23.75
note,G5,quarter,1.0,24.0
note,G#5,16th,0.25,25.0
note,B5,16th,0.25,25.25
note,F5,quarter,1.5,25.5
chord,"C#5,F5",eighth,0.5,27.0
chord,"E5,F#5",eighth,0.75,27.5
chord,"B4,C#5",16th,0.25,28.25
chord,"C5,E5",eighth,0.5,28.5
chord,"C#5,F5",eighth,0.5,29.0
chord,"A4,C5",eighth,0.5,29.5
chord,"C5,E5",eighth,0.5,30.0
note,B4,eighth,0.5,30.5
chord,"C#5,B5",16th,0.25,31.0
chord,"C5,G#5",16th,0.25,31.25
note,F5,quarter,1.0,31.5
chord,"C5,F5",16th,0.25,32.5
chord,"E5,F5",16th,0.25,32.75
chord,"C#5,F5",eighth,0.5,33.0
chord,"E5,F#5",eighth,0.75,33.5
chord,"B4,C#5",16th,0.25,34.25
chord,"B4,C#5",16th,0.25,34.5
chord,"C5,E5",16th,0.25,34.75
note,F5,16th,0.25,35.0
chord,"B4,C#5",16th,0.25,35.25
chord,"C#5,F5",16th,0.25,35.5
chord,"A4,C5",16th,0.25,35.75
chord,"C5,E5",eighth,0.5,36.0
chord,"B4,C#5",16th,0.25,36.5
chord,"B5,C#5",eighth,0.5,37.0
chord,"B5,D5",16th,0.25,37.5
chord,"B5,G#5",16th,0.25,37.75
chord,"B5,D5",16th,0.25,38.0
chord,"A5,G#5",16th,0.25,38.25
chord,"F6,G#5",16th,0.25,38.5
chord,"B5,G#5",16th,0.25,38.75
chord,"F#5,B5",eighth,0.5,39.0
chord,"G#5,B5",eighth,0.5,39.5
chord,"E5,F#5",eighth,0.5,40.0
chord,"F#5,B5",16th,0.25,40.5
chord,"F#5,B5",16th,0.25,40.75
chord,"F5,G#5",16th,0.25,41.0
chord,"E5,F#5",16th,0.25,41.25
chord,"F#5,B5",16th,0.25,41.5
chord,"D5,F5",16th,0.25,41.75
chord,"F5,G#5",eighth,0.5,42.0
chord,"E5,F#5",16th,0.25,42.5
chord,"F#5,E6",16th,0.25,42.75
chord,"F#5,E6",16th,0.25,43.0
chord,"F5,C#6",16th,0.25,43.25
chord,"D5,B5",16th,0.25,43.5
chord,"B4,B5",16th,0.25,43.75
chord,"C5,B5",16th,0.25,44.0
chord,"C#5,B5",16th,0.25,44.25
chord,"E5,B5",16th,0.25,44.5
chord,"F5,B5",16th,0.25,44.75
chord,"F#5,B5",16th,0.25,45.0
chord,"G#5,B5",16th,0.25,45.25
chord,"F5,G#5",16th,0.25,137/3
chord,"G#5,B5",16th,0.25,46.0
chord,"E5,F#5",16th,0.25,139/3
chord,"F5,G#5",16th,0.25,46.75
chord,"F5,G#5,F#5,B5",16th,0.25,47.0
chord,"E5,F#5",16th,0.25,47.25
chord,"F5,G#5",16th,0.25,47.5
chord,"D5,F5",16th,0.25,48.0
chord,"E5,F#5",quarter,1.0,49.0
chord,"D5,F#5",16th,0.25,50.0
chord,"C#5,F#5",eighth,0.5,50.5
chord,"C5,F#5",eighth,0.75,51.0
chord,"A4,A5",16th,0.25,51.75
chord,"G#4,G#5",quarter,1.0,52.0
chord,"F#4,F#5",eighth,0.5,53.0
chord,"C#4,C#5",eighth,0.5,53.5
chord,"C4,C5",quarter,1.0,54.0
note,G#4,eighth,0.5,55.0
note,A4,16th,0.25,55.5
note,A4,16th,0.25,55.75
note,G#4,16th,0.25,56.0
note,A4,16th,0.25,56.25
note,E5,eighth,1/3,56.5
note,E5,eighth,0.5,57.0
chord,"A4,A5",16th,0.25,57.75
chord,"G#4,G#5",quarter,1.0,58.0
chord,"F#4,F#5",16th,0.25,59.0
chord,"G#4,G#5",16th,0.25,59.25
chord,"E4,E5",16th,0.25,59.5
chord,"E4,E5",16th,0.25,59.75
chord,"C4,C5",eighth,0.5,60.0
