type,note(s),duration_type,duration_quarterLength,offset
note,C4,quarter,1.0,0.0
note,C4,quarter,1.0,1.0
note,G4,quarter,1.0,2.0
note,G4,quarter,1.0,3.0
note,A4,quarter,1.0,4.0
note,A4,quarter,1.0,5.0
chord,"G4,E3",half,2.0,6.0
note,F4,quarter,1.0,8.0
note,F4,quarter,1.0,9.0
note,E4,quarter,1.0,10.0
note,E4,quarter,1.0,11.0
chord,"D4,F3",quarter,1.0,12.0
chord,"D4,G3",quarter,1.0,13.0
note,C4,half,2.0,14.0
note,G4,quarter,1.0,16.0
note,G4,quarter,1.0,17.0
note,F4,quarter,1.0,18.0
note,F4,quarter,1.0,19.0
note,E4,quarter,1.0,20.0
note,E4,quarter,1.0,21.0
chord,"D4,G3",half,2.0,22.0
note,G4,quarter,1.0,24.0
note,G4,quarter,1.0,25.0
note,F4,quarter,1.0,26.0
note,F4,quarter,1.0,27.0
note,E4,quarter,1.0,28.0
note,E4,quarter,1.0,29.0
chord,"D4,G3",half,2.0,30.0
note,C4,quarter,1.0,32.0
note,C4,quarter,1.0,33.0
note,G4,quarter,1.0,34.0
note,G4,quarter,1.0,35.0
note,A4,quarter,1.0,36.0
note,A4,quarter,1.0,37.0
chord,"G4,E3",half,2.0,38.0
note,F4,quarter,1.0,40.0
note,F4,quarter,1.0,41.0
note,E4,quarter,1.0,42.0
note,E4,quarter,1.0,43.0
chord,"D4,F3",quarter,1.0,44.0
chord,"D4,G3",quarter,1.0,45.0
chord,"C4,C3",half,2.0,46.0
note,C3,half,2.0,0.0
note,E3,half,2.0,2.0
note,F3,half,2.0,4.0
note,D3,half,2.0,8.0
note,C3,half,2.0,10.0
note,E3,quarter,1.0,14.0
note,C3,quarter,1.0,15.0
note,E3,half,2.0,16.0
note,F3,half,2.0,18.0
note,G3,half,2.0,20.0
note,E3,half,2.0,24.0
note,F3,half,2.0,26.0
note,G3,half,2.0,28.0
note,C3,half,2.0,32.0
note,E3,half,2.0,34.0
note,F3,half,2.0,36.0
note,D3,half,2.0,40.0
note,C3,half,2.0,42.0
